"id","domaine","auteur_institution","titre","annee","type","doi_url_stable","chemin_local_prive","licence","langue","activites_concernees","statut_lecture","statut_validation","notes"
"PER-C2","PER","CIIP","Plan d'études romand, cycle 2 - corpus local","","référentiel officiel","","_private-inputs/per/","consultation interne; ne pas republier","fr","1;2;3;4","indexation ciblée","correspondances provisoires","Les trois PDF locaux sont détaillés ci-dessous; validation enseignante requise."
"PER-MSN-SHS","PER","CIIP","PER Mathématiques et Sciences de la nature / Sciences humaines et sociales","","référentiel officiel","","_private-inputs/per/PER MSN SHS.pdf","consultation interne; ne pas republier","fr","1;2;3;4","pages ciblées recensées dans docs/per-index.md","correspondances provisoires","116 pages; pages de travail exactes consignées dans docs/per-index.md."
"PER-L1","PER","CIIP","PER Langues 1","","référentiel officiel","","_private-inputs/per/PER L1.pdf","consultation interne; ne pas republier","fr","1;2;3;4","pages ciblées recensées dans docs/per-index.md","correspondances provisoires","120 pages; libellés publics à vérifier."
"PER-AV","PER","CIIP","PER Arts visuels","","référentiel officiel","","_private-inputs/per/PER AV.pdf","consultation interne; ne pas republier","fr","2;3;4","pages ciblées recensées dans docs/per-index.md","correspondances provisoires","72 pages; alignements non officiels."
"BC-001","histoire; mythologie; anatomie","Barbara Carè","From the astragalus to the heel: revisiting the anatomy of Achilles’ mythical invulnerability","2026","article scientifique","https://doi.org/10.1093/bics/qbag009","_private-inputs/scientifique/articles/mythe achilles.pdf","CC BY-NC-ND 4.0 pour l'article; droits des figures séparés","en","1;3","lecture ciblée du texte intégral","source scientifique publiée; citations précises requises","Bulletin of the Institute of Classical Studies 69(1), p. 202-216."
"BC-002","archéologie; rites; jeux","Barbara Carè","L’astragale réexaminé : jeu, rites et violence dans l’Antiquité classique","2023","chapitre scientifique","https://doi.org/10.4000/books.puc.27266","","CC BY-NC-ND 4.0 pour le texte; autres éléments tous droits réservés sauf mention contraire","fr","2;3;4","lecture ciblée du texte intégral en ligne","source scientifique publiée; citations précises requises","Dans Violence et jeu de l’Antiquité à nos jours, p. 105-127."
"BC-003","médiation; synthèse scientifique","Barbara Carè","Le projet Histoires d’os, un pont entre science et société autour des recherches sur les astragales","2025","chronique scientifique et de médiation","https://doi.org/10.4000/14mne","","CC BY-NC-SA 4.0 pour le texte; illustrations et annexes séparées","fr","1;2;3;4","texte intégral repéré","source de cadrage publiée; détails scientifiques à recouper","Frontière·s, Chroniques, 11 septembre 2025."
"ZEDER-LAPHAM-2010","archéozoologie","Melinda A. Zeder; Heather A. Lapham","Assessing the reliability of criteria used to identify postcranial bones in sheep, Ovis, and goats, Capra","2010","article scientifique","https://doi.org/10.1016/j.jas.2010.06.032","_private-inputs/scientifique/articles/Assessing_the_reliability_of_criteria_used_to_iden.pdf","droits à vérifier; copie privée de recherche","en","2","texte intégral disponible localement","source scientifique publiée; pages à associer aux affirmations","Journal of Archaeological Science 37(11), p. 2887-2905."
"UNAL-ET-AL-2025","anatomie vétérinaire; morphométrie","Burak Ünal; Barış Can Güzel; Buket Çakar; Yeşim Aslan Kanmaz; Funda Yiğit; Ozan Gündemir; Mihaela-Claudia Spataru","Shape and Size Variations in the Astragalus of Large and Small Bovids","2025","article scientifique","https://doi.org/10.3390/ani15030425","","accès ouvert; licence de l'article et des figures à vérifier avant réutilisation","en","1;2","résumé et métadonnées consultés","texte intégral à lire avant validation d'une affirmation","Animals 15(3), 425; PMCID PMC11816053."
"VAN-DRIE-BOXTEL-2008","didactique de l'histoire","Jannet van Drie; Carla van Boxtel","Historical Reasoning: Towards a Framework for Analyzing Students’ Reasoning about the Past","2008","article de synthèse","https://doi.org/10.1007/s10648-007-9056-1","","droits à vérifier","en","3;4","résumé et métadonnées consultés","cadre pédagogique à lire intégralement avant citation détaillée","Educational Psychology Review 20, p. 87-110. Le DOI présent dans certaines pages du projet est erroné."
